"","it","bm","ar","n"
"1",0.130857281535282,0.0522434699126312,0.268825604413843,100
"2",-0.103767704369965,0.00483200826181664,-0.118585444562487,100
"3",-0.0412173387028471,-0.0292673624545697,0.0208481956063191,100
"4",0.010284709261488,0.0875533283244144,-0.075876846428959,100
"5",-0.0125934834723016,-0.00754286361572557,0.0463872441952359,100
"6",-0.0314485940351209,0.0765089150369473,-0.0734276098854829,100
"7",0.00616651806250517,-0.0327725489505435,-0.0389370960175301,100
"8",-0.180724880127331,0.130398235853211,-0.0839801531754272,100
"9",-0.114106227973106,-0.0497017077090391,-0.0300568418115681,100
"10",0.0465904178174203,-0.0223021935023657,-0.11180628813594,100
"11",-0.035453306520645,0.0247067319411224,0.0384950970733417,1000
"12",0.0366388141687227,0.00100541910139863,-0.021226764951495,1000
"13",0.00336082981135615,-0.0242386675895113,0.00505397881014318,1000
"14",-0.0159798260045362,-0.026409118491785,0.0171014776727417,1000
"15",-0.0397139222219413,0.00365781751746246,0.0584238694105583,1000
"16",-0.0442175962308154,1.85379198376483e-05,-0.0486486245660894,1000
"17",0.00647902318666495,-0.0253058048753244,-0.0122381461085676,1000
"18",-0.037150548189095,-0.00297276771286058,-0.0207887750848773,1000
"19",0.00492621369415706,-0.0183460046502066,-0.0108574858032385,1000
"20",-0.0488234241692564,-0.0269063371102233,0.0537940745912417,1000
"21",-0.00569736719127909,-0.00680329893446557,-0.00157489640547287,10000
"22",-0.0172899926656552,-0.00488293508186195,-0.0043561571103887,10000
"23",0.00453255799759156,0.00768828671040044,0.00824585677328408,10000
"24",0.00534875002438714,0.0051432669598961,-0.00670410455963098,10000
"25",0.0116085150688492,-0.00689751878625517,0.000342015577768286,10000
"26",-0.0139366507877374,-9.14072365523017e-05,0.00429394184165491,10000
"27",-0.00646929854096148,-0.00893026863821723,-0.00799622602279096,10000
"28",0.0114679988862391,0.00442925829557438,-0.00218796853777333,10000
"29",0.017304074001297,0.00066150253529795,-0.00363442157462137,10000
"30",0.000698682784315211,0.000143614490726185,-0.0199928921956179,10000
"31",0.00265327116329544,4.08972998749737e-05,-0.00080188174221598,1e+05
"32",-0.00265123285202617,-0.00230156351073781,0.00276605288542174,1e+05
"33",-0.00502467896247235,0.00199417478738425,0.00150894499791484,1e+05
"34",0.00539130015731253,0.000712883465802215,-0.00111326264270001,1e+05
"35",-5.39463291626786e-05,-0.0039526618653532,-0.00329410163078927,1e+05
"36",-0.00011767888364329,0.00242099844631477,7.39297241243134e-05,1e+05
"37",0.00193301086628296,-0.000575551438250475,0.00372130923668972,1e+05
"38",0.00290134496114021,-0.00172252319010402,-0.00591458102711176,1e+05
"39",-0.00103753313696032,0.00175691452579902,0.00169952961038819,1e+05
"40",0.00107010635541817,0.000432198552558,-0.00413346740860529,1e+05
